country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity
Ecuador,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477
Portugal,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947
Jamaica,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493
South Korea,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866
Japan,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178
Peru,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817
Serbia,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289
Bolivia,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074
Pakistan,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063
Paraguay,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241
Dominican Republic,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781
Bosnia and Herzegovina,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244
Moldova,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184
Tajikistan,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125
Montenegro,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033
Russia,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916
Kyrgyzstan,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074
Belarus,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306
North Cyprus,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054
Greece,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0
Hong Kong S.A.R. of China,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904
Croatia,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979
Libya,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699
Mongolia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736
Malaysia,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161
Vietnam,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721
Indonesia,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527
Ivory Coast,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587
Benin,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428
Maldives,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252
Congo (Brazzaville),5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013
Azerbaijan,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214
North Macedonia,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354
Ghana,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206
Nepal,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806
Turkey,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569
China,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044
Turkmenistan,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326
Bulgaria,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713
Morocco,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551
Cameroon,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101
Venezuela,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154
Algeria,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014
Senegal,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135
Guinea,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842
Niger,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896
Laos,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711
Albania,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765
Cambodia,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081
Bangladesh,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117
